emoji,unicode,name_en,name_id,alias,emoji_clean,has_skin_tone,category,aliases
😀,😀,grinning_face,wajah_gembira,wajah_gembira_bahagia_muka_senang,\U0001f600,False,grinning,"['wajah', 'gembira', 'bahagia', 'muka', 'senang']"
😃,😃,grinning_face_with_big_eyes,wajah_tersenyum_lebar,wajah_tersenyum_lebar_muka_mulut_senyum_terbuka,\U0001f603,False,grinning_face_with_big,"['wajah', 'tersenyum', 'lebar', 'muka', 'mulut', 'senyum', 'terbuka']"
😄,😄,grinning_face_with_smiling_eyes,wajah_tersenyum_lebar_dan_mata_tertutup,wajah_tersenyum_lebar_dan_mata_tertutup_muka_mulut_senyum_terbuka,\U0001f604,False,grinning_face_with_smiling,"['wajah', 'tersenyum', 'lebar', 'dan', 'mata', 'tertutup', 'muka', 'mulut', 'senyum', 'terbuka']"
😁,😁,beaming_face_with_smiling_eyes,wajah_gembira_dengan_mata_bahagia,wajah_gembira_dengan_mata_bahagia_cengiran_muka_senyum_tersenyum_lebar,\U0001f601,False,beaming_face_with_smiling,"['wajah', 'gembira', 'dengan', 'mata', 'bahagia', 'cengiran', 'muka', 'senyum', 'tersenyum', 'lebar']"
😆,😆,grinning_squinting_face,wajah_tersenyum_lebar_dan_memejamkan_mata,wajah_tersenyum_lebar_dan_memejamkan_mata_mulut_puas_senyum_tertawa,\U0001f606,False,grinning_squinting,"['wajah', 'tersenyum', 'lebar', 'dan', 'memejamkan', 'mata', 'mulut', 'puas', 'senyum', 'tertawa']"
😅,😅,grinning_face_with_sweat,wajah_tersenyum_lebar_dan_berkeringat,wajah_tersenyum_lebar_dan_berkeringat_dingin_keringat_muka_senyum_terbuka,\U0001f605,False,grinning_face_with,"['wajah', 'tersenyum', 'lebar', 'dan', 'berkeringat', 'dingin', 'keringat', 'muka', 'senyum', 'terbuka']"
🤣,🤣,rolling_on_the_floor_laughing,tertawa_terbahak-bahak,tertawa_terbahak-bahak_kocak_lucu_ngakak,\U0001f923,False,rolling_on_the_floor,"['tertawa', 'terbahak-bahak', 'kocak', 'lucu', 'ngakak']"
😂,😂,face_with_tears_of_joy,wajah_gembira_berurai_air_mata,wajah_gembira_berurai_air_mata_bahagia_tertawa_dengan,\U0001f602,False,face_with_tears_of,"['wajah', 'gembira', 'berurai', 'air', 'mata', 'bahagia', 'tertawa', 'dengan']"
🙂,🙂,slightly_smiling_face,wajah_agak_tersenyum,wajah_agak_tersenyum_muka_senyum,\U0001f642,False,slightly_smiling,"['wajah', 'agak', 'tersenyum', 'muka', 'senyum']"
🙃,🙃,upside-down_face,wajah_terbalik,wajah_terbalik_muka,\U0001f643,False,down,"['wajah', 'terbalik', 'muka']"
